City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Puerto Ayora,EC,2022-04-11 15:50:44,-0.7393,-90.3518,84.16,92,91,8.01,overcast clouds
61,Kahului,US,2022-04-11 15:50:44,20.8947,-156.47,73.85,81,75,9.22,broken clouds
62,Nawa,IN,2022-04-11 15:50:44,27.0167,75.0,89.96,12,100,13.24,overcast clouds
63,Christchurch,NZ,2022-04-11 15:50:44,-43.5333,172.6333,64.6,73,75,6.91,broken clouds
64,Vaini,TO,2022-04-11 15:50:45,-21.2,-175.2,77.16,94,100,6.91,light rain
65,Kavieng,PG,2022-04-11 15:50:45,-2.5744,150.7967,82.15,76,11,12.46,few clouds
66,Kirkwall,GB,2022-04-11 15:50:45,58.9848,-2.9587,44.65,81,20,20.71,few clouds
67,Phibun Mangsahan,TH,2022-04-11 15:50:46,15.2447,105.2291,90.1,41,76,0.56,broken clouds
68,Soyo,AO,2022-04-11 15:50:46,-6.1349,12.3689,78.73,84,99,9.69,moderate rain
69,Mwanza,TZ,2022-04-11 15:50:46,-2.5167,32.9,82.45,51,20,0.0,few clouds
70,Billings,US,2022-04-11 15:49:43,45.7833,-108.5007,34.29,86,100,5.75,overcast clouds
71,Rikitea,PF,2022-04-11 15:50:47,-23.1203,-134.9692,79.05,72,2,18.75,clear sky
72,Mataura,NZ,2022-04-11 15:50:47,-46.1927,168.8643,49.48,99,100,1.41,light rain
73,Victoria,HK,2022-04-11 15:46:09,22.2855,114.1577,79.18,80,0,5.01,clear sky
74,Huntington,US,2022-04-11 15:49:17,38.4193,-82.4452,70.7,37,100,8.05,overcast clouds
75,Kayes,ML,2022-04-11 15:50:48,14.0,-11.0,106.52,7,17,1.23,few clouds
76,Ponta Do Sol,PT,2022-04-11 15:50:48,32.6667,-17.1,67.01,64,100,14.83,overcast clouds
77,Florianopolis,BR,2022-04-11 15:50:48,-27.6146,-48.5012,74.7,90,75,10.36,heavy intensity rain
78,Urumqi,CN,2022-04-11 15:50:49,43.801,87.6005,52.75,19,0,4.47,clear sky
79,Ossora,RU,2022-04-11 15:50:49,59.2353,163.0719,18.97,93,100,8.08,overcast clouds
80,Vardo,NO,2022-04-11 15:50:50,70.3705,31.1107,37.38,81,75,11.5,broken clouds
81,Lompoc,US,2022-04-11 15:48:11,34.6391,-120.4579,59.77,87,40,20.71,scattered clouds
