City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atuona,PF,2022-04-05 19:17:41,-9.8,-139.0333,79.41,72,9,23.69
68,Puerto Ayora,EC,2022-04-05 19:17:41,-0.7393,-90.3518,84.16,86,45,5.01
69,Sokoto,NG,2022-04-05 19:17:41,13.0609,5.239,95.16,18,15,6.33
70,Tianpeng,CN,2022-04-05 19:17:42,30.9866,103.9393,54.07,81,100,2.33
71,Buala,SB,2022-04-05 19:17:42,-8.145,159.5921,77.2,94,100,9.98
72,Gushikawa,JP,2022-04-05 19:17:42,26.3544,127.8686,65.43,71,100,8.05
73,Klyuchi,RU,2022-04-05 19:17:43,52.2667,79.1667,53.04,67,62,8.32
74,Moree,AU,2022-04-05 19:17:43,-29.4667,149.85,62.62,88,25,10.36
75,Yellowknife,CA,2022-04-05 19:17:43,62.456,-114.3525,34.41,77,75,10.36
76,Hermanus,ZA,2022-04-05 19:17:44,-34.4187,19.2345,60.8,78,1,14.54
77,Fort Frances,CA,2022-04-05 19:17:44,48.5999,-93.4003,37.62,74,100,14.97
78,Sisimiut,GL,2022-04-05 19:17:44,66.9395,-53.6735,28.36,92,83,4.61
79,Komsomolskiy,UZ,2022-04-05 19:17:44,40.4272,71.7189,63.32,42,0,9.22
80,Mayo,US,2022-04-05 19:17:45,38.8876,-76.5119,58.17,92,100,5.01
81,Chokurdakh,RU,2022-04-05 19:17:45,70.6333,147.9167,-21.68,100,100,4.32
82,New Norfolk,AU,2022-04-05 19:17:45,-42.7826,147.0587,53.1,68,82,1.25
83,Verkhnyaya Inta,RU,2022-04-05 19:17:46,65.9811,60.3094,10.15,96,100,6.78
84,Vardo,NO,2022-04-05 19:15:53,70.3705,31.1107,31.98,80,75,28.77
85,Saint-Philippe,RE,2022-04-05 19:17:46,-21.3585,55.7679,78.39,87,51,10.04
86,Aracuai,BR,2022-04-05 19:17:46,-16.8497,-42.0703,94.37,25,0,2.28
87,Constitucion,CL,2022-04-05 19:17:47,-35.3333,-72.4167,65.28,60,8,12.57
88,Mizan Teferi,ET,2022-04-05 19:16:18,6.9833,35.5833,66.99,66,24,2.82
89,Havoysund,NO,2022-04-05 19:17:47,70.9963,24.6622,32.23,67,100,32.82
90,Chapais,CA,2022-04-05 19:17:47,49.7834,-74.8492,35.38,59,91,2.44
91,Wajima,JP,2022-04-05 19:17:48,37.4,136.9,51.48,70,100,13.78
92,Cabo San Lucas,MX,2022-04-05 19:14:19,22.8909,-109.9124,80.62,62,0,11.5
93,Denpasar,ID,2022-04-05 19:18:48,-8.65,115.2167,80.26,88,20,6.91
94,Pangody,RU,2022-04-05 19:18:48,65.85,74.4859,33.91,99,100,19.35
95,Aden,YE,2022-04-05 19:18:49,12.7794,45.0367,82.13,63,0,14.83
96,Toppenish,US,2022-04-05 19:17:18,46.3774,-120.3087,54.21,31,0,21.7
97,Harper,LR,2022-04-05 19:15:09,4.375,-7.7169,82.17,83,38,10.18
98,Bengkulu,ID,2022-04-05 19:18:49,-3.8004,102.2655,75.96,88,100,4.47
99,Arraial Do Cabo,BR,2022-04-05 19:15:30,-22.9661,-42.0278,78.76,94,75,16.11
100,Manado,ID,2022-04-05 19:18:50,1.487,124.8455,75.97,100,40,2.3
101,Crepy-En-Valois,FR,2022-04-05 19:18:50,49.2336,2.8881,53.73,87,99,8.77
102,Tomatlan,MX,2022-04-05 19:18:50,19.9333,-105.25,88.5,34,1,9.51
103,Angoram,PG,2022-04-05 19:18:51,-4.0625,144.0661,73.83,97,100,2.06
104,Kapit,MY,2022-04-05 19:18:51,2.0167,112.9333,72.39,99,100,0.92
105,Embonas,GR,2022-04-05 19:18:51,36.2269,27.8564,60.93,87,74,7.05
106,Mercedes,AR,2022-04-05 19:18:51,-34.6515,-59.4307,79.03,16,0,8.23
107,Kaeo,NZ,2022-04-05 19:14:27,-35.1,173.7833,66.33,96,100,5.68
108,Lompoc,US,2022-04-05 19:15:54,34.6391,-120.4579,87.57,50,0,17.27
109,Shestakovo,RU,2022-04-05 19:18:52,56.4915,103.96,27.14,97,100,4.5
110,Tasiilaq,GL,2022-04-05 19:18:52,65.6145,-37.6368,12.69,91,55,5.3
111,Agadez,NE,2022-04-05 19:18:53,19.75,10.25,89.69,6,100,7.49
112,Broken Hill,AU,2022-04-05 19:18:53,-31.95,141.4333,63.27,42,99,10.69
113,Puerto Madryn,AR,2022-04-05 19:18:53,-42.7692,-65.0385,77.94,31,19,22.08
114,Kodiak,US,2022-04-05 19:18:54,57.79,-152.4072,36.91,56,0,8.05
115,Port Hedland,AU,2022-04-05 19:18:54,-20.3167,118.5667,80.65,69,100,4.61
116,Dublin,US,2022-04-05 19:17:22,37.7021,-121.9358,69.15,40,0,11.5
117,Kavaratti,IN,2022-04-05 19:18:54,10.5669,72.642,83.48,74,22,6.89
118,Bethel,US,2022-04-05 19:18:55,41.3712,-73.414,60.19,46,20,6.91
119,Sabang,ID,2022-04-05 19:18:55,5.8933,95.3214,78.37,82,100,3.65
120,Christchurch,NZ,2022-04-05 19:14:58,-43.5333,172.6333,65.41,76,100,4.61
121,Barrow,US,2022-04-05 19:18:55,71.2906,-156.7887,-18.38,76,75,8.05
122,Carbondale,US,2022-04-05 19:18:55,37.7273,-89.2168,68.0,62,0,11.5
123,Orotukan,RU,2022-04-05 19:18:56,62.2667,151.7,-6.63,100,92,2.98
124,Snezhnogorsk,RU,2022-04-05 19:18:56,69.1933,33.2531,29.98,82,100,19.91
125,Bambous Virieux,MU,2022-04-05 19:18:56,-20.3428,57.7575,77.25,100,75,11.5
126,Cambuga,PH,2022-04-05 19:18:57,13.6167,122.45,76.55,86,100,8.25
127,Srednekolymsk,RU,2022-04-05 19:18:57,67.45,153.6833,-26.32,100,100,4.72
128,Sioux Lookout,CA,2022-04-05 19:15:36,50.1001,-91.917,37.47,65,100,10.36
129,Richards Bay,ZA,2022-04-05 19:18:57,-28.783,32.0377,72.32,89,21,2.28
130,Kloulklubed,PW,2022-04-05 19:18:20,7.0419,134.2556,81.63,78,100,5.23
131,Shingu,JP,2022-04-05 19:18:58,33.7333,135.9833,51.51,63,100,5.82
132,Alofi,NU,2022-04-05 19:18:58,-19.0595,-169.9187,73.29,94,100,5.75
133,Padang,ID,2022-04-05 19:18:58,-0.9492,100.3543,76.71,88,98,3.74
134,Carnarvon,AU,2022-04-05 19:18:59,-24.8667,113.6333,71.67,83,0,10.36
135,College,US,2022-04-05 19:18:59,64.8569,-147.8028,19.47,72,75,3.44
136,Norderstedt,DE,2022-04-05 19:18:59,53.7,10.0167,42.15,93,100,2.3
137,Port Augusta,AU,2022-04-05 19:19:00,-32.5,137.7667,65.08,67,16,7.0
138,Surt,LY,2022-04-05 19:19:00,31.2089,16.5887,65.59,77,18,9.57
139,Mount Isa,AU,2022-04-05 19:19:00,-20.7333,139.5,55.17,33,6,1.14
140,Avarua,CK,2022-04-05 19:20:01,-21.2078,-159.775,82.45,83,20,8.05
141,Pijijiapan,MX,2022-04-05 19:20:01,15.7011,-93.23,93.29,44,7,10.58
142,Kargopol,RU,2022-04-05 19:20:02,61.5071,38.9456,33.31,91,100,12.75
143,Torbay,CA,2022-04-05 19:18:00,47.6666,-52.7314,43.29,93,100,14.97
144,Dolores,AR,2022-04-05 19:20:02,-36.3132,-57.6792,75.67,28,1,11.54
145,Sabancuy,MX,2022-04-05 19:20:02,18.9667,-91.1833,95.47,43,0,6.6
146,Hamilton,US,2022-04-05 19:16:33,39.1834,-84.5333,55.78,95,100,9.22
147,Grand-Santi,GF,2022-04-05 19:20:03,4.25,-54.3833,80.46,92,44,3.96
148,Upernavik,GL,2022-04-05 19:20:03,72.7868,-56.1549,26.33,94,100,7.09
149,Ribeira Grande,PT,2022-04-05 19:20:04,38.5167,-28.7,63.0,82,20,9.22
150,Nouadhibou,MR,2022-04-05 19:17:58,20.931,-17.0347,67.98,60,0,21.85
151,Jamestown,US,2022-04-05 19:16:41,42.097,-79.2353,64.02,31,20,8.01
152,Longyearbyen,SJ,2022-04-05 19:20:04,78.2186,15.6401,10.24,61,0,17.27
153,Xingyi,CN,2022-04-05 19:20:04,24.1877,102.817,50.22,91,92,2.98
154,Mandalay,MM,2022-04-05 19:15:47,21.9747,96.0836,86.58,41,16,5.77
155,Laguna,US,2022-04-05 19:20:05,38.421,-121.4238,69.3,35,0,19.57
156,Pisco,PE,2022-04-05 19:18:02,-13.7,-76.2167,73.45,68,0,6.91
157,Palmer,US,2022-04-05 19:20:05,42.1584,-72.3287,62.33,34,40,6.91
158,Castro,BR,2022-04-05 19:20:05,-24.7911,-50.0119,76.05,70,14,3.09
159,Nunkini,MX,2022-04-05 19:20:06,20.3333,-90.1833,104.31,22,4,6.49
160,Tokur,RU,2022-04-05 19:20:06,53.1333,132.9,13.73,91,100,7.81
161,Port Hueneme,US,2022-04-05 19:20:06,34.1478,-119.1951,89.38,46,0,9.22
162,Lagoa,PT,2022-04-05 19:20:07,39.05,-27.9833,59.83,83,39,12.5
163,Cayenne,GF,2022-04-05 19:20:07,4.9333,-52.3333,77.04,88,100,9.22
164,Doraha,IN,2022-04-05 19:20:07,30.8167,76.0167,75.58,10,0,3.62
165,East London,ZA,2022-04-05 19:20:08,-33.0153,27.9116,67.78,74,56,5.35
166,Albanel,CA,2022-04-05 19:20:08,48.8832,-72.4487,39.18,33,99,2.3
167,Fairbanks,US,2022-04-05 19:15:33,64.8378,-147.7164,19.49,72,0,3.44
168,Bathsheba,BB,2022-04-05 19:20:08,13.2167,-59.5167,84.81,58,40,11.5
169,Dehui,CN,2022-04-05 19:20:09,44.5333,125.7,29.48,29,0,13.94
170,Lebu,CL,2022-04-05 19:20:09,-37.6167,-73.65,59.95,80,51,12.84
171,Ukiah,US,2022-04-05 19:17:02,39.1502,-123.2078,68.16,42,0,8.05
172,Cobija,BO,2022-04-05 19:20:09,-11.0267,-68.7692,91.58,58,40,0.0
173,Simpang,ID,2022-04-05 19:20:10,-1.2667,104.0833,73.99,94,74,2.04
174,Kaitangata,NZ,2022-04-05 19:20:10,-46.2817,169.8464,50.36,82,98,12.44
175,Alamos,MX,2022-04-05 19:20:11,27.0167,-108.9333,84.31,23,0,5.95
176,Northam,GB,2022-04-05 19:20:11,51.0333,-4.2167,50.4,88,100,21.18
177,Khushab,PK,2022-04-05 19:20:11,32.2967,72.3525,79.97,13,8,4.32
178,Bataipora,BR,2022-04-05 19:20:12,-22.2953,-53.2711,89.55,49,2,1.52
179,Georgetown,MY,2022-04-05 19:15:13,5.4112,100.3354,78.73,89,20,4.61
180,Sawakin,SD,2022-04-05 19:20:12,19.1059,37.3321,81.52,55,0,5.03
181,Tigil,RU,2022-04-05 19:20:13,57.8,158.6667,21.7,96,100,1.43
182,Ucluelet,CA,2022-04-05 19:20:13,48.9329,-125.5528,49.08,71,9,7.0
183,Port Elizabeth,ZA,2022-04-05 19:17:03,-33.918,25.5701,66.49,68,0,18.41
184,Antofagasta,CL,2022-04-05 19:18:50,-23.65,-70.4,72.21,49,88,8.93
185,Lewiston,US,2022-04-05 19:15:53,44.1003,-70.2148,59.86,28,20,10.36
186,Namatanai,PG,2022-04-05 19:20:14,-3.6667,152.4333,77.65,91,100,6.82
187,Valdez,EC,2022-04-05 19:21:14,1.2492,-78.9831,81.79,76,20,9.57
188,Hilo,US,2022-04-05 19:21:14,19.7297,-155.09,74.62,90,100,6.91
189,Dargaville,NZ,2022-04-05 19:21:15,-35.9333,173.8833,62.87,97,93,4.94
190,Imeni Poliny Osipenko,RU,2022-04-05 19:21:15,52.4201,136.4853,21.24,93,100,7.4
191,Urazovka,RU,2022-04-05 19:21:15,55.4013,45.6186,27.46,90,100,9.31
192,Bafoulabe,ML,2022-04-05 19:21:15,13.8065,-10.8321,100.42,11,79,8.55
193,Zhigansk,RU,2022-04-05 19:21:16,66.7697,123.3711,-10.41,100,83,9.4
194,Beian,NO,2022-04-05 19:21:16,63.6559,9.5683,33.01,86,100,11.5
195,Patea,NZ,2022-04-05 19:21:16,-39.7583,174.4833,64.06,95,50,9.62
196,Malaya Vishera,RU,2022-04-05 19:21:17,58.8454,32.2222,33.24,83,100,11.27
197,Salinopolis,BR,2022-04-05 19:21:17,-0.6136,-47.3561,78.1,88,96,3.06
198,Edson,CA,2022-04-05 19:21:17,53.5835,-116.4356,42.94,56,0,14.97
199,Wanaka,NZ,2022-04-05 19:21:18,-44.7,169.15,55.11,95,93,1.01
200,Chik,RU,2022-04-05 19:21:18,54.9928,82.4311,47.95,61,0,6.71
201,Port-Cartier,CA,2022-04-05 19:21:19,50.0334,-66.8654,39.42,85,100,8.75
202,Kavieng,PG,2022-04-05 19:21:19,-2.5744,150.7967,79.9,85,100,18.14
203,Praia Da Vitoria,PT,2022-04-05 19:21:19,38.7333,-27.0667,63.75,72,40,7.96
204,Chaman,PK,2022-04-05 19:21:20,30.9236,66.4512,72.12,11,11,4.41
205,San Rafael Del Sur,NI,2022-04-05 19:21:20,11.8485,-86.4384,92.37,37,13,8.08
206,Corrientes,AR,2022-04-05 19:21:20,-27.4806,-58.8341,75.16,96,75,2.3
207,Nuuk,GL,2022-04-05 19:21:21,64.1835,-51.7216,32.61,93,75,4.61
208,Biltine,TD,2022-04-05 19:21:21,14.5333,20.9167,93.24,10,0,9.4
209,Inirida,CO,2022-04-05 19:21:21,3.8653,-67.9239,80.78,90,100,2.57
210,Carmo Do Paranaiba,BR,2022-04-05 19:21:21,-19.0008,-46.3161,85.75,47,49,4.74
211,Gedo,ET,2022-04-05 19:21:22,9.0167,37.45,61.52,36,26,2.28
212,Kaseda,JP,2022-04-05 19:21:22,31.4167,130.3167,56.59,62,100,7.27
213,Puerto Baquerizo Moreno,EC,2022-04-05 19:21:22,-0.9,-89.6,83.39,79,40,11.5
214,Hokitika,NZ,2022-04-05 19:16:46,-42.7167,170.9667,62.64,89,100,9.62
215,Te Anau,NZ,2022-04-05 19:21:23,-45.4167,167.7167,47.5,82,24,5.03
216,Shenkursk,RU,2022-04-05 19:21:23,62.1091,42.896,31.01,90,100,9.31
217,Yulara,AU,2022-04-05 19:19:35,-25.2406,130.9889,71.44,56,42,14.97
218,Iqaluit,CA,2022-04-05 19:21:24,63.7506,-68.5145,8.33,78,75,27.63
219,Nanortalik,GL,2022-04-05 19:20:24,60.1432,-45.2371,34.39,81,74,4.52
220,Mamakan,RU,2022-04-05 19:21:24,57.8161,114.0028,1.58,99,86,1.95
221,Soyo,AO,2022-04-05 19:21:24,-6.1349,12.3689,78.03,89,39,8.23
222,Rawson,AR,2022-04-05 19:20:52,-43.3002,-65.1023,76.06,33,49,24.07
223,North Platte,US,2022-04-05 19:21:25,41.1239,-100.7654,55.11,36,40,23.0
224,San Cristobal,VE,2022-04-05 19:21:25,7.7669,-72.225,80.78,55,100,5.77
225,Matamoros,MX,2022-04-05 19:21:25,25.5333,-103.25,84.31,8,40,4.61
226,Aklavik,CA,2022-04-05 19:21:26,68.2191,-135.0107,-4.0,54,20,9.22
227,Tecpan,GT,2022-04-05 19:21:26,14.7623,-90.9947,72.9,44,14,10.02
228,Soloneshnoye,RU,2022-04-05 19:21:26,51.6544,84.3197,39.7,79,30,7.02
229,Coracora,PE,2022-04-05 19:21:27,-15.0333,-73.7833,59.16,62,86,7.87
230,Montgomery,US,2022-04-05 19:22:27,39.1501,-77.1997,55.18,89,100,4.61
231,Toktogul,KG,2022-04-05 19:22:27,41.8708,72.9402,56.19,51,0,4.03
232,Moju,BR,2022-04-05 19:22:28,-1.8839,-48.7689,77.95,96,97,3.11
233,Codrington,AU,2022-04-05 19:17:57,-38.2667,141.9667,58.68,80,100,9.91
234,Bairiki,KI,2022-04-05 19:22:28,1.3292,172.9752,80.6,89,40,9.22
235,Yurkivka,UA,2022-04-05 19:22:28,49.0126,31.1013,46.4,64,100,15.37
236,Dunedin,NZ,2022-04-05 19:22:29,-45.8742,170.5036,54.81,79,100,11.99
237,Thinadhoo,MV,2022-04-05 19:22:29,0.5333,72.9333,82.45,73,13,4.09
238,Sarkand,KZ,2022-04-05 19:22:29,45.41,79.9186,57.85,26,2,8.41
239,Talant,FR,2022-04-05 19:22:30,47.3369,5.0089,52.41,71,100,4.61
240,Nikolskoye,RU,2022-04-05 19:22:30,59.7035,30.7861,31.91,82,74,12.48
241,Muros,ES,2022-04-05 19:22:30,42.7762,-9.0603,57.16,58,0,14.05
242,Chumikan,RU,2022-04-05 19:22:30,54.7183,135.315,24.28,97,100,6.29
243,Ak-Dovurak,RU,2022-04-05 19:22:31,51.1833,90.6,39.24,78,99,1.32
244,Tiksi,RU,2022-04-05 19:22:31,71.6872,128.8694,-17.79,100,100,1.63
245,Outram,MY,2022-04-05 19:22:31,1.2829,103.8379,78.82,86,75,1.14
246,Sabha,LY,2022-04-05 19:22:32,27.0377,14.4283,87.53,8,0,3.0
247,Ban Dung,TH,2022-04-05 19:22:32,17.699,103.2596,73.11,98,9,9.13
248,Dire Dawa,ET,2022-04-05 19:22:32,9.5931,41.8661,75.15,40,3,3.38
249,San Carlos De Bariloche,AR,2022-04-05 19:22:33,-41.1456,-71.3082,58.75,63,75,23.02
250,General Roca,AR,2022-04-05 19:22:33,-39.0333,-67.5833,82.62,25,37,13.13
251,Westport,US,2022-04-05 19:21:44,41.1415,-73.3579,59.34,49,100,5.75
